SC_CODE,SC_NAME,SC_GROUP,SC_TYPE,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI
523694,APCOTEX IND ,B ,Q,515.05,562.35,515.05,537.45,537.45,468.65,985,39646,21724104.00,
523696,FORTIS MLR  ,X ,Q,63.00,64.40,57.25,61.60,61.60,61.80,197,41594,2585571.00,
523704,MASTEK LTD  ,B ,Q,484.80,492.00,480.25,483.05,482.50,474.65,1156,51697,25173136.00,
523708,EIMCO ELECON,B ,Q,491.00,510.00,488.00,502.10,500.10,502.40,26,542,270860.00,
523710,SAYAJI HOTEL,XT,Q,283.25,283.25,283.25,283.25,283.25,279.00,1,17,4815.00,
523716,ASHIANA HOU ,B ,Q,175.55,180.70,175.55,176.65,176.65,179.75,606,28404,5062044.00,
523722,SVAM SOFTWAR,XT,Q,0.78,0.78,0.78,0.78,0.78,0.82,1,1000,780.00,
523724,VIJAY SHA.BU,B ,Q,26.00,26.35,24.85,25.25,25.25,25.65,265,36510,926755.00,
523732,ECO BOARD IN,XT,Q,5.75,5.75,5.21,5.21,5.21,5.48,5,1899,10433.00,
523736,DPL         ,B ,Q,159.80,159.90,152.65,156.40,156.40,152.30,277,37484,5933379.00,
523754,EPC INDUS.  ,X ,Q,166.00,172.50,166.00,168.95,168.95,166.25,241,27070,4597654.00,
523756,SREIINFRA   ,A ,Q,83.05,84.75,82.40,83.50,83.50,81.80,858,171092,14308285.00,
523768,GUJ.BOROSIL ,X ,Q,116.50,119.90,115.00,117.75,117.00,117.80,196,25080,2949718.00,
523790,SHUKRA JEW  ,P ,Q,10.05,10.05,10.05,10.05,10.05,10.05,2,200,2010.00,
523792,MAZDA LTD   ,B ,Q,391.50,408.00,391.00,395.00,395.00,391.70,147,2575,1030027.00,
523796,VICEROY HOTE,B ,Q,17.20,17.60,17.00,17.10,17.10,17.10,165,70073,1206865.00,
523820,NEOCORP INTE,Z ,Q,3.00,3.25,3.00,3.01,3.01,3.10,15,5292,16712.00,
523828,MENON BEAR. ,B ,Q,110.00,114.30,107.40,110.40,110.95,108.80,141,10280,1141429.00,
523836,GUJ.RAFFIA  ,T ,Q,66.85,66.85,66.85,66.85,66.85,70.35,7,419,28010.00,
523838,SIMPLX INFRA,B ,Q,588.30,588.30,571.60,575.50,574.00,578.90,112,1925,1121233.00,
523840,INN.TECH.PAC,X ,Q,81.50,88.45,81.50,85.70,86.90,78.55,204,53434,4510040.00,
523842,SUPER TANNER,SS,Q,7.32,7.33,6.75,7.33,7.33,6.99,62,29339,211798.00,
523844,INVICTA MED ,XT,Q,4.00,4.00,4.00,4.00,4.00,4.09,2,625,2500.00,
523850,AXTEL INDUS.,X ,Q,112.00,112.00,108.70,109.40,108.70,110.95,45,3179,349497.00,
523890,DS.KULKARNI ,T ,Q,18.65,19.30,18.00,18.90,18.80,18.90,55,43344,805431.00,
524000,MAGMA FIN   ,B ,Q,160.00,166.65,159.85,164.20,163.30,160.50,171,7097,1159892.00,
524019,KINGFA      ,T ,Q,1132.40,1132.40,1095.00,1127.65,1122.00,1078.50,239,8064,9105596.00,
524031,PATIDAR     ,X ,Q,9.03,9.03,9.03,9.03,9.03,8.60,1,35,316.00,
524037,RAMA PHOSPH ,X ,Q,93.00,95.90,92.95,93.05,93.00,93.40,30,2063,194544.00,
524038,VENLON ENTR ,X ,Q,3.92,3.92,3.56,3.74,3.74,3.71,8,1020,3812.00,
524051,POLYPLEX    ,B ,Q,507.30,507.35,488.70,495.10,493.45,489.80,102,4427,2192502.00,
524075,ALBERT DAVID,T ,Q,380.00,403.20,380.00,398.70,403.20,384.00,54,4197,1657645.00,
524080,HAR.LEATHER ,XT,Q,52.75,52.75,47.90,48.10,48.10,50.35,5,275,14209.00,
524084,MONSANTO (I),A ,Q,2580.00,2580.00,2486.00,2513.05,2490.00,2506.45,407,3140,7883251.00,
524091,ACRYCIL LTD.,X ,Q,550.05,572.90,550.05,572.40,572.90,551.85,32,895,503968.00,
524109,KABRA EXTR  ,B ,Q,134.90,134.90,131.65,132.65,132.60,132.90,100,5587,744112.00,
524129,VINYL CHEM  ,B ,Q,117.15,123.50,117.15,120.00,120.00,117.15,562,36818,4445154.00,
524136,PEE CEE COSM,X ,Q,136.00,142.70,135.00,142.70,142.70,135.95,27,2684,370642.00,
524164,IOL CHEM PH ,B ,Q,85.80,86.20,84.05,85.85,85.85,82.30,751,110215,9400134.00,
524174,KESAR PETRO ,X ,Q,47.05,50.50,45.75,46.20,46.20,46.65,1647,770728,36640965.00,
524200,VINATI ORG. ,B ,Q,870.00,885.00,856.40,864.50,875.00,877.20,152,1090,950520.00,
524202,LACTOSE(I)  ,XT,Q,127.60,128.90,124.00,126.45,128.90,127.20,17,475,60155.00,
524204,TEESTA AGRO ,XT,Q,39.00,39.00,39.00,39.00,39.00,37.15,9,775,30225.00,
524208,AARTI INDUST,B ,Q,1140.00,1140.00,1124.70,1134.75,1134.90,1137.85,89,1038,1174267.00,
524212,WANBURY LTD ,T ,Q,39.10,41.65,38.95,40.50,40.05,40.95,94,20181,798998.00,
524218,RESONANCE   ,X ,Q,35.00,35.00,33.00,34.95,34.95,33.70,31,4851,163150.00,
524226,GUJ AMB EXP ,B ,Q,244.50,259.00,244.50,256.75,255.15,242.60,666,41318,10465491.00,
524230,RASHTR.CHEM.,A ,Q,87.10,88.20,85.90,86.95,86.95,86.90,2094,457273,39946006.00,
524280,KOPRAN LTD. ,B ,Q,73.60,79.80,73.45,77.25,77.25,72.10,2038,236199,18283400.00,
524288,AIMCO PESTI.,X ,Q,166.40,180.00,166.40,177.15,178.15,170.05,146,10309,1808387.00,
524314,GUJ.TERC LAB,X ,Q,13.55,13.65,12.35,12.51,12.35,13.00,30,7930,102695.00,
524324,SEYAIND     ,X ,Q,685.85,701.00,663.00,669.90,670.00,664.10,295,10863,7322744.00,
524330,JAYANT AGRO ,B ,Q,395.25,396.85,367.00,390.75,394.25,390.60,203,3404,1318935.00,
524332,BCL         ,X ,Q,179.70,183.90,168.40,170.65,170.65,168.55,784,101958,18041618.00,
524336,SH.HARI CHEM,X ,Q,47.00,48.00,46.00,47.50,47.50,47.50,27,4489,212472.00,
524342,INDOBORAXC  ,X ,Q,493.95,540.00,487.00,522.15,532.90,481.10,204,9658,5063223.00,
524348,AARTI DRUGS ,B ,Q,626.00,636.05,614.00,624.95,623.00,612.15,182,2419,1512629.00,
524370,BODAL CHEM  ,B ,Q,151.95,153.50,150.60,151.60,150.60,150.25,466,29626,4509847.00,
524372,ORCHIDPHAR  ,Z ,Q,18.50,18.50,17.25,17.60,17.50,17.85,200,65785,1163704.00,
524394,VIMTA LABS  ,T ,Q,192.00,207.55,192.00,207.55,207.55,197.70,59,4179,865131.00,
524396,BIOFIL CHEM ,T ,Q,15.25,15.45,14.55,15.20,15.20,15.20,21,3482,52475.00,
524404,MARKSANS    ,A ,Q,41.00,42.70,40.20,41.35,41.35,39.95,4410,1411721,58623589.00,
524408,UNIV.STARCH ,XT,Q,29.10,29.50,29.00,29.50,29.50,28.50,7,683,20019.00,
524412,AAREY DRUGS ,X ,Q,51.50,55.95,51.50,55.15,55.05,51.30,479,70168,3856155.00,
524440,CAMEX LTD   ,XT,Q,40.30,42.30,40.30,42.30,42.30,40.30,70,26695,1127474.00,
